Volcano Name,Eruption Type,Start Date,Max. VEI
Suwanosejima,Confirmed Eruption,2000 Dec 19,3
Tengger Caldera,Confirmed Eruption,2000 Nov 29,2
Sumisujima,Uncertain Eruption,2000 Oct 30,0
Kita-Ioto,Uncertain Eruption,2000 Oct 30,0
Kikai,Confirmed Eruption,2000 Oct 16,1
Ulawun,Confirmed Eruption,2000 Sep 28,4
Hokkaido-Komagatake,Confirmed Eruption,2000 Sep 4,1
Ijen,Uncertain Eruption,2000 Sep 1,1
Kaba,Confirmed Eruption,2000 Aug 22,1
Pacaya,Confirmed Eruption,2000 Aug 16,1
Bardarbunga,Uncertain Eruption,2000 Aug 16,0
Shishaldin,Uncertain Eruption,2000 Aug 11,1
Klyuchevskoy,Confirmed Eruption,2000 Jul 28,2
Fukutoku-Oka-no-Ba,Uncertain Eruption,2000 Jul 26,0
Lascar,Confirmed Eruption,2000 Jul 20,2
Bezymianny,Confirmed Eruption,2000 Jul 18,2
Slamet,Uncertain Eruption,2000 Jul 16,1
Mayon,Confirmed Eruption,2000 Jul 16,2
Raung,Confirmed Eruption,2000 Jul 9,2
Copahue,Confirmed Eruption,2000 Jul 1,2
Mutnovsky,Confirmed Eruption,2000 Jun 30,1
Miyakejima,Confirmed Eruption,2000 Jun 27,3
"Fournaise, Piton de la",Confirmed Eruption,2000 Jun 23,1
Manam,Confirmed Eruption,2000 Jun 3,2
Krakatau,Confirmed Eruption,2000 May 29,1
Cameroon,Confirmed Eruption,2000 May 28,2
Soputan,Confirmed Eruption,2000 May 13,2
Saunders,Confirmed Eruption,2000 May 13,0
Lokon-Empung,Confirmed Eruption,2000 May 10,2
Sabancaya,Confirmed Eruption,2000 Apr 16,2
Toya,Confirmed Eruption,2000 Mar 31,2
Galeras,Confirmed Eruption,2000 Mar 21,1
Mutnovsky,Confirmed Eruption,2000 Mar 17,2
Bezymianny,Confirmed Eruption,2000 Mar 14,2
Marapi,Confirmed Eruption,2000 Mar 11,2
Heard,Confirmed Eruption,2000 Mar 7,2
Whakaari/White Island,Confirmed Eruption,2000 Mar 7,3
Tinakula,Confirmed Eruption,2000 Feb 29,1
Bagana,Confirmed Eruption,2000 Feb 28,2
Hekla,Confirmed Eruption,2000 Feb 26,3
Suwanosejima,Confirmed Eruption,2000 Feb 24,2
"Fournaise, Piton de la",Confirmed Eruption,2000 Feb 14,1
Klyuchevskoy,Confirmed Eruption,2000 Feb 3,2
Nyamuragira,Confirmed Eruption,2000 Jan 27,2
Kita-Ioto,Uncertain Eruption,2000 Jan 25,0
Barren Island,Uncertain Eruption,2000 Jan 16,1
Kikai,Confirmed Eruption,2000 Jan 16,2
Concepcion,Confirmed Eruption,1999 Dec 27,1
Masaya,Confirmed Eruption,1999 Nov 22,1
Kavachi,Confirmed Eruption,1999 Nov 16,1
Ulawun,Confirmed Eruption,1999 Oct 20,1
Moyorodake [Medvezhia],Confirmed Eruption,1999 Oct 7,1
Tungurahua,Confirmed Eruption,1999 Oct 5,3
Shishaldin,Uncertain Eruption,1999 Sep 25,1
Ioto,Confirmed Eruption,1999 Sep 10,1
Fukutoku-Oka-no-Ba,Uncertain Eruption,1999 Sep 8,0
Kita-Ioto,Uncertain Eruption,1999 Sep 7,0
Sheveluch,Confirmed Eruption,1999 Aug 15,4
"Negro, Cerro",Confirmed Eruption,1999 Aug 5,2
Raung,Confirmed Eruption,1999 Jul 30,2
"Fournaise, Piton de la",Confirmed Eruption,1999 Jul 19,1
Katla,Uncertain Eruption,1999 Jul 17,0
Ijen,Confirmed Eruption,1999 Jun 28,1
Mayon,Confirmed Eruption,1999 Jun 22,3
Suwanosejima,Confirmed Eruption,1999 Jun 15,1
Monowai,Confirmed Eruption,1999 Jun 6,0
Iliwerung,Confirmed Eruption,1999 May 22,0
Fuego,Confirmed Eruption,1999 May 21,2
Telica,Confirmed Eruption,1999 May 21,2
Tinakula,Confirmed Eruption,1999 May 16,1
Wrangell,Uncertain Eruption,1999 May 14,1
Slamet,Confirmed Eruption,1999 May 1,1
San Cristobal,Confirmed Eruption,1999 May 1,2
Marapi,Confirmed Eruption,1999 Apr 16,2
East Gakkel Ridge at 85°E,Confirmed Eruption,1999 Apr 5,2
Sheveluch,Confirmed Eruption,1999 Apr 3,2
Lewotobi,Confirmed Eruption,1999 Mar 31,2
Cameroon,Confirmed Eruption,1999 Mar 28,2
Kerinci,Confirmed Eruption,1999 Mar 16,2
Karangetang,Confirmed Eruption,1999 Mar 16,3
Batur,Confirmed Eruption,1999 Mar 15,1
Shishaldin,Confirmed Eruption,1999 Mar 13,3
Peuet Sague,Confirmed Eruption,1999 Mar 9,1
Bezymianny,Confirmed Eruption,1999 Feb 25,2
Kavachi,Confirmed Eruption,1999 Feb 16,1
Krakatau,Confirmed Eruption,1999 Feb 5,2
Klyuchevskoy,Confirmed Eruption,1999 Feb 5,2
Epi,Confirmed Eruption,1999 Feb 1,1
Saunders,Confirmed Eruption,1999 Jan 19,0
Unnamed,Confirmed Eruption,1999 Jan 8,1
Suwanosejima,Confirmed Eruption,1999 Jan 5,1
Ibu,Confirmed Eruption,1998 Dec 18,2
Grimsvotn,Confirmed Eruption,1998 Dec 18,3
Terceira,Confirmed Eruption,1998 Nov 25,0
Planchon-Peteroa,Confirmed Eruption,1998 Nov 18,1
Llaima,Confirmed Eruption,1998 Nov 10,2
Akan,Confirmed Eruption,1998 Nov 9,1
Shishaldin,Confirmed Eruption,1998 Nov 4,1
Kerinci,Confirmed Eruption,1998 Nov 3,2
Sumisujima,Uncertain Eruption,1998 Oct 27,0
Kita-Ioto,Uncertain Eruption,1998 Oct 27,0
Hokkaido-Komagatake,Confirmed Eruption,1998 Oct 25,2
Nyamuragira,Confirmed Eruption,1998 Oct 17,2
Fukutoku-Oka-no-Ba,Uncertain Eruption,1998 Oct 16,0
"Azul, Cerro",Confirmed Eruption,1998 Sep 15,1
Masaya,Confirmed Eruption,1998 Sep 14,1
Whakaari/White Island,Confirmed Eruption,1998 Aug 22,2
Chiginagak,Confirmed Eruption,1998 Aug 13,1
Guagua Pichincha,Confirmed Eruption,1998 Aug 7,3
Klyuchevskoy,Confirmed Eruption,1998 Jul 23,2
Lopevi,Confirmed Eruption,1998 Jul 16,3
Karangetang,Confirmed Eruption,1998 Jul 5,1
Kerinci,Confirmed Eruption,1998 Jul 4,2
Batur,Confirmed Eruption,1998 Jul 4,1
Kavachi,Uncertain Eruption,1998 Jul 2,0
Bezymianny,Confirmed Eruption,1998 Jun 20,0
Sheveluch,Confirmed Eruption,1998 May 30,3
Kita-Ioto,Uncertain Eruption,1998 May 21,0
Korovin,Confirmed Eruption,1998 May 8,3
Kikai,Confirmed Eruption,1998 Apr 25,2
Peuet Sague,Confirmed Eruption,1998 Apr 19,1
Llaima,Confirmed Eruption,1998 Apr 3,2
Niigata-Yakeyama,Confirmed Eruption,1998 Mar 30,1
Whakaari/White Island,Confirmed Eruption,1998 Mar 28,1
"Fournaise, Piton de la",Confirmed Eruption,1998 Mar 9,1
Villarrica,Confirmed Eruption,1998 Feb 24,1
Rincon de la Vieja,Confirmed Eruption,1998 Feb 15,2
Axial Seamount,Confirmed Eruption,1998 Jan 25,0
San Miguel,Confirmed Eruption,1997 Dec 31,1
Monowai,Confirmed Eruption,1997 Dec 15,0
Bezymianny,Confirmed Eruption,1997 Dec 5,3
Colima,Confirmed Eruption,1997 Nov 22,3
Sumisujima,Uncertain Eruption,1997 Nov 21,0
Fukutoku-Oka-no-Ba,Uncertain Eruption,1997 Nov 18,0
Niigata-Yakeyama,Confirmed Eruption,1997 Oct 29,1
Ruapehu,Confirmed Eruption,1997 Oct 9,1
Klyuchevskoy,Confirmed Eruption,1997 Sep 7,1
Alaid,Uncertain Eruption,1997 Aug 23,--
Akita-Yakeyama,Confirmed Eruption,1997 Aug 16,1
Bardarbunga,Uncertain Eruption,1997 Aug 16,0
"Watt, Morne",Confirmed Eruption,1997 Jul 15,1
Kikai,Confirmed Eruption,1997 Jul 2,1
Sangeang Api,Confirmed Eruption,1997 Jul 2,2
Don Joao de Castro Bank,Uncertain Eruption,1997 Jun 27,0
Masaya,Confirmed Eruption,1997 Jun 3,1
Shishaldin,Confirmed Eruption,1997 Jun 2,1
San Cristobal,Confirmed Eruption,1997 May 19,1
Akita-Yakeyama,Confirmed Eruption,1997 May 11,1
Bezymianny,Confirmed Eruption,1997 May 8,3
Cleveland,Confirmed Eruption,1997 May 5,2
Monowai,Confirmed Eruption,1997 Apr 18,0
Raung,Confirmed Eruption,1997 Apr 16,2
Krakatau,Confirmed Eruption,1997 Mar 16,2
Guagua Pichincha,Confirmed Eruption,1997 Mar 16,1
Llaima,Confirmed Eruption,1997 Mar 16,1
Kita-Ioto,Uncertain Eruption,1997 Mar 10,0
Sheveluch,Confirmed Eruption,1997 Mar 8,2
Amukta,Confirmed Eruption,1997 Mar 3,1
Okmok,Confirmed Eruption,1997 Feb 11,3
Kavachi,Confirmed Eruption,1997 Jan 16,1
Dieng Volcanic Complex,Confirmed Eruption,1996 Dec 31,1
Suwanosejima,Confirmed Eruption,1996 Dec 26,1
McDonald Islands,Confirmed Eruption,1996 Dec 16,1
Masaya,Confirmed Eruption,1996 Dec 5,1
Alaid,Confirmed Eruption,1996 Dec 3,2
Nyamuragira,Confirmed Eruption,1996 Dec 1,3
Akan,Confirmed Eruption,1996 Nov 21,1
Klyuchevskoy,Confirmed Eruption,1996 Nov 14,2
Lascar,Confirmed Eruption,1996 Oct 18,2
Karangetang,Confirmed Eruption,1996 Oct 1,1
Grimsvotn,Confirmed Eruption,1996 Sep 30,3
Gareloi,Uncertain Eruption,1996 Sep 27,1
Monowai,Confirmed Eruption,1996 Sep 20,0
Amukta,Confirmed Eruption,1996 Sep 17,1
Villarrica,Confirmed Eruption,1996 Sep 14,1
Pavlof,Confirmed Eruption,1996 Sep 11,2
Adatarayama,Confirmed Eruption,1996 Sep 1,1
Montagu Island,Uncertain Eruption,1996 Sep 1,1
Bardarbunga,Uncertain Eruption,1996 Aug 16,0
Kerinci,Confirmed Eruption,1996 Aug 16,1
Kanlaon,Confirmed Eruption,1996 Aug 10,2
Bezymianny,Confirmed Eruption,1996 Jul 23,0
Krakatau,Confirmed Eruption,1996 Jul 16,2
Gamalama,Confirmed Eruption,1996 Jul 2,2
Galapagos Rift,Confirmed Eruption,1996 Jul 2,0
Pagan,Confirmed Eruption,1996 Jul 2,1
Atka,Discredited Eruption,1996 Jun 29,--
Ruang,Uncertain Eruption,1996 Jun 27,--
Ruapehu,Confirmed Eruption,1996 Jun 16,3
Ambrym,Confirmed Eruption,1996 Jun 16,1
Kanaga,Uncertain Eruption,1996 Jun 11,1
Sorikmarapi,Uncertain Eruption,1996 May 5,--
Poas,Confirmed Eruption,1996 Apr 8,1
Ruapehu,Uncertain Eruption,1996 Mar 21,0
Popocatepetl,Confirmed Eruption,1996 Mar 5,3
Hokkaido-Komagatake,Confirmed Eruption,1996 Mar 5,1
North Gorda Ridge Segment,Confirmed Eruption,1996 Feb 28,0
Loihi,Confirmed Eruption,1996 Feb 25,0
Eastern Gemini Seamount,Confirmed Eruption,1996 Feb 18,1
Unzendake,Confirmed Eruption,1996 Feb 10,2
Sumisujima,Uncertain Eruption,1996 Jan 22,0
Villarrica,Confirmed Eruption,1996 Jan 16,1
Minami-Hiyoshi,Uncertain Eruption,1996 Jan 11,0
Akademia Nauk,Confirmed Eruption,1996 Jan 2,3
Karymsky,Confirmed Eruption,1996 Jan 2,3
Shishaldin,Confirmed Eruption,1995 Dec 23,3
Boomerang Seamount,Confirmed Eruption,1995 Dec 1,0
Rabaul,Confirmed Eruption,1995 Nov 28,2
Monowai,Confirmed Eruption,1995 Nov 27,0
Fukutoku-Oka-no-Ba,Uncertain Eruption,1995 Nov 21,0
Veniaminof,Confirmed Eruption,1995 Nov 15,1
Karangetang,Confirmed Eruption,1995 Nov 9,1
Rincon de la Vieja,Confirmed Eruption,1995 Nov 6,2
Llaima,Confirmed Eruption,1995 Oct 13,2
Ruby,Confirmed Eruption,1995 Oct 11,0
Kujusan,Confirmed Eruption,1995 Oct 11,1
Bezymianny,Confirmed Eruption,1995 Sep 16,3
Copahue,Confirmed Eruption,1995 Sep 16,2
Rinjani,Uncertain Eruption,1995 Sep 12,--
Tengger Caldera,Confirmed Eruption,1995 Sep 9,1
Irruputuncu,Confirmed Eruption,1995 Sep 1,2
Raung,Uncertain Eruption,1995 Aug 15,2
Soufriere Hills,Confirmed Eruption,1995 Jul 18,3
Bardarbunga,Uncertain Eruption,1995 Jul 16,0
Sumisujima,Uncertain Eruption,1995 Jul 5,0
Tinakula,Confirmed Eruption,1995 Jul 2,1
Whakaari/White Island,Confirmed Eruption,1995 Jun 28,1
Kanaga,Confirmed Eruption,1995 Jun 19,2
Lateiki,Confirmed Eruption,1995 Jun 6,2
"Negro, Cerro",Confirmed Eruption,1995 May 29,2
Atka,Uncertain Eruption,1995 May 1,1
Veniaminof,Confirmed Eruption,1995 Apr 17,1
Saunders,Confirmed Eruption,1995 Apr 16,0
Villarrica,Confirmed Eruption,1995 Apr 15,1
Fogo,Confirmed Eruption,1995 Apr 2,2
Raung,Confirmed Eruption,1995 Mar 16,1
Tengger Caldera,Confirmed Eruption,1995 Mar 3,1
Ambae,Confirmed Eruption,1995 Mar 2,2
Yakedake,Confirmed Eruption,1995 Feb 11,1
Makushin,Confirmed Eruption,1995 Jan 30,1
Fernandina,Confirmed Eruption,1995 Jan 25,2
San Miguel,Confirmed Eruption,1995 Jan 12,1
Ruapehu,Confirmed Eruption,1995 Jan 11,3
Vailulu'u,Confirmed Eruption,1995 Jan 9,0
Popocatepetl,Confirmed Eruption,1994 Dec 21,2
Barren Island,Confirmed Eruption,1994 Dec 20,2
Ambrym,Confirmed Eruption,1994 Dec 16,1
Copahue,Confirmed Eruption,1994 Dec 16,2
Irazu,Confirmed Eruption,1994 Dec 8,2
Bulusan,Confirmed Eruption,1994 Nov 27,2
Lascar,Confirmed Eruption,1994 Nov 13,2
Cleveland,Confirmed Eruption,1994 Oct 20,1
Dempo,Confirmed Eruption,1994 Oct 16,1
Villarrica,Confirmed Eruption,1994 Sep 26,1
Rabaul,Confirmed Eruption,1994 Sep 19,4
"Lengai, Ol Doinyo",Confirmed Eruption,1994 Sep 18,1
Klyuchevskoy,Confirmed Eruption,1994 Sep 8,3
Ioto,Confirmed Eruption,1994 Aug 22,1
Batur,Confirmed Eruption,1994 Aug 7,1
Telica,Confirmed Eruption,1994 Jul 31,2
Fukutoku-Oka-no-Ba,Uncertain Eruption,1994 Jul 28,0
Sumisujima,Uncertain Eruption,1994 Jul 27,0
Colima,Confirmed Eruption,1994 Jul 21,1
Lascar,Confirmed Eruption,1994 Jul 20,2
Raung,Confirmed Eruption,1994 Jul 14,1
Bezymianny,Confirmed Eruption,1994 Jul 7,2
Nyamuragira,Confirmed Eruption,1994 Jul 4,2
Nyiragongo,Confirmed Eruption,1994 Jun 23,1
Etna,Confirmed Eruption,1994 Jun 17,3
Rinjani,Confirmed Eruption,1994 Jun 3,3
Cleveland,Confirmed Eruption,1994 May 25,3
Llaima,Confirmed Eruption,1994 May 17,2
Asosan,Confirmed Eruption,1994 May 2,2
"Ruiz, Nevado del",Uncertain Eruption,1994 Apr 23,--
Ulawun,Confirmed Eruption,1994 Apr 19,1
Krakatau,Confirmed Eruption,1994 Mar 19,2
Poas,Confirmed Eruption,1994 Mar 16,2
Ruapehu,Uncertain Eruption,1994 Feb 12,1
Ijen,Confirmed Eruption,1994 Feb 3,1
Sumisujima,Uncertain Eruption,1994 Jan 17,0
Gamalama,Confirmed Eruption,1994 Jan 16,2
Tinguiririca,Uncertain Eruption,1994 Jan 15,2
Kanaga,Confirmed Eruption,1994 Jan 5,2
Lascar,Confirmed Eruption,1993 Dec 17,2
Alcedo,Confirmed Eruption,1993 Dec 5,1
"Ojos del Salado, Nevados",Uncertain Eruption,1993 Nov 14,1
Long Island,Confirmed Eruption,1993 Nov 3,1
Ioto,Uncertain Eruption,1993 Oct 27,1
Bezymianny,Confirmed Eruption,1993 Oct 21,3
Iliwerung,Confirmed Eruption,1993 Sep 15,2
Sumisujima,Uncertain Eruption,1993 Sep 8,0
Shishaldin,Confirmed Eruption,1993 Sep 4,2
Kanlaon,Confirmed Eruption,1993 Aug 25,2
Makushin,Confirmed Eruption,1993 Aug 16,1
Etna,Confirmed Eruption,1993 Aug 3,1
Veniaminof,Confirmed Eruption,1993 Jul 30,2
Ijen,Confirmed Eruption,1993 Jul 3,1
CoAxial Segment,Confirmed Eruption,1993 Jun 26,0
Iliboleng,Confirmed Eruption,1993 Jun 16,1
Masaya,Confirmed Eruption,1993 Jun 16,1
Seguam,Confirmed Eruption,1993 May 28,2
Gamalama,Confirmed Eruption,1993 May 6,2
Tungurahua,Uncertain Eruption,1993 May 6,1
Tofua,Uncertain Eruption,1993 Apr 29,0
Taftan,Uncertain Eruption,1993 Apr 25,--
Raung,Confirmed Eruption,1993 Apr 1,1
Aracar,Uncertain Eruption,1993 Mar 28,2
Guagua Pichincha,Confirmed Eruption,1993 Mar 9,1
Pinatubo,Confirmed Eruption,1993 Feb 16,1
Etna,Confirmed Eruption,1993 Feb 3,1
Mayon,Confirmed Eruption,1993 Feb 2,2
Lascar,Confirmed Eruption,1993 Jan 30,4
Socorro,Confirmed Eruption,1993 Jan 29,0
Dieng Volcanic Complex,Confirmed Eruption,1993 Jan 23,1
Pagan,Confirmed Eruption,1993 Jan 15,2
Galeras,Confirmed Eruption,1993 Jan 14,2
Ulawun,Confirmed Eruption,1993 Jan 12,2
Heard,Confirmed Eruption,1993 Jan 2,2
Seguam,Confirmed Eruption,1992 Dec 27,2
Akutan,Confirmed Eruption,1992 Dec 18,1
McDonald Islands,Confirmed Eruption,1992 Dec 16,0
Fukutoku-Oka-no-Ba,Confirmed Eruption,1992 Nov 10,1
Krakatau,Confirmed Eruption,1992 Nov 7,1
Poas,Confirmed Eruption,1992 Oct 16,0
Klyuchevskoy,Confirmed Eruption,1992 Sep 12,2
Villarrica,Confirmed Eruption,1992 Sep 11,1
"Fournaise, Piton de la",Confirmed Eruption,1992 Aug 27,1
Llaima,Confirmed Eruption,1992 Aug 23,1
Sumisujima,Uncertain Eruption,1992 Aug 5,0
Copahue,Confirmed Eruption,1992 Jul 22,2
Pinatubo,Confirmed Eruption,1992 Jul 9,1
Bogoslof,Confirmed Eruption,1992 Jul 6,3
Spurr,Confirmed Eruption,1992 Jun 27,4
Kanlaon,Confirmed Eruption,1992 Jun 10,2
Heard,Confirmed Eruption,1992 May 29,0
Asosan,Confirmed Eruption,1992 Apr 23,2
Pagan,Confirmed Eruption,1992 Apr 13,1
"Negro, Cerro",Confirmed Eruption,1992 Apr 9,3
Awu,Confirmed Eruption,1992 Apr 7,1
Bezymianny,Confirmed Eruption,1992 Mar 12,2
Akutan,Confirmed Eruption,1992 Mar 8,2
Poas,Confirmed Eruption,1992 Feb 16,1
Minami-Hiyoshi,Uncertain Eruption,1992 Feb 12,0
Ruapehu,Confirmed Eruption,1992 Feb 8,1
Klyuchevskoy,Confirmed Eruption,1992 Jan 25,2
Merapi,Confirmed Eruption,1992 Jan 20,2
Heard,Uncertain Eruption,1992 Jan 17,--
Kanlaon,Confirmed Eruption,1992 Jan 8,1
Etna,Confirmed Eruption,1991 Dec 14,2
Kirishimayama,Confirmed Eruption,1991 Dec 1,1
Northern EPR at 9.8°N,Confirmed Eruption,1991 Dec 1,0
Westdahl,Confirmed Eruption,1991 Nov 29,3
Sumisujima,Uncertain Eruption,1991 Nov 5,0
Iliboleng,Confirmed Eruption,1991 Nov 3,1
Lascar,Confirmed Eruption,1991 Oct 21,2
Marchena,Confirmed Eruption,1991 Sep 25,2
Nyamuragira,Confirmed Eruption,1991 Sep 20,3
Akutan,Confirmed Eruption,1991 Sep 15,2
Arjuno-Welirang,Uncertain Eruption,1991 Sep 13,--
Raung,Confirmed Eruption,1991 Sep 10,2
Villarrica,Confirmed Eruption,1991 Aug 30,2
Bardarbunga,Uncertain Eruption,1991 Aug 12,0
"Hudson, Cerro",Confirmed Eruption,1991 Aug 8,5
"Fournaise, Piton de la",Confirmed Eruption,1991 Jul 19,0
Fukutoku-Oka-no-Ba,Uncertain Eruption,1991 Jul 19,0
Karthala,Confirmed Eruption,1991 Jul 11,2
Ruapehu,Confirmed Eruption,1991 Jul 5,1
Peuet Sague,Confirmed Eruption,1991 Jul 2,2
Karangetang,Confirmed Eruption,1991 Jul 2,2
Lateiki,Confirmed Eruption,1991 Jun 24,0
Gamalama,Uncertain Eruption,1991 Jun 15,1
Soputan,Confirmed Eruption,1991 May 22,2
Lokon-Empung,Confirmed Eruption,1991 May 17,3
Ontakesan,Confirmed Eruption,1991 May 13,0
Lewotobi,Confirmed Eruption,1991 May 11,1
Iliboleng,Confirmed Eruption,1991 May 8,1
Rincon de la Vieja,Confirmed Eruption,1991 May 7,2
Kavachi,Confirmed Eruption,1991 May 4,2
Fernandina,Confirmed Eruption,1991 Apr 19,2
Klyuchevskoy,Confirmed Eruption,1991 Apr 8,2
Pinatubo,Confirmed Eruption,1991 Apr 2,6
Barren Island,Confirmed Eruption,1991 Apr 1,2
Ranakah,Confirmed Eruption,1991 Mar 16,1
Northern EPR at 9.8°N,Confirmed Eruption,1991 Mar 16,0
Hollister Ridge,Uncertain Eruption,1991 Mar 11,0
Poas,Confirmed Eruption,1991 Mar 6,1
Colima,Confirmed Eruption,1991 Mar 1,2
Kanlaon,Confirmed Eruption,1991 Feb 14,2
Planchon-Peteroa,Confirmed Eruption,1991 Feb 9,2
Hekla,Confirmed Eruption,1991 Jan 17,3
Ebeko,Confirmed Eruption,1991 Jan 16,1
Avachinsky,Confirmed Eruption,1991 Jan 13,2
Kerinci,Confirmed Eruption,1990 Dec 31,2
Lascar,Confirmed Eruption,1990 Nov 24,1
Unzendake,Confirmed Eruption,1990 Nov 17,1
St. Helens,Confirmed Eruption,1990 Nov 5,3
Udintsev Transform,Uncertain Eruption,1990 Oct 29,0
Apaneca Range,Discredited Eruption,1990 Oct 13,--
Izu-Oshima,Confirmed Eruption,1990 Oct 4,2
Ambrym,Confirmed Eruption,1990 Sep 16,2
Akutan,Confirmed Eruption,1990 Sep 6,2
Asamayama,Confirmed Eruption,1990 Jul 20,2
Southern EPR-Segment K,Confirmed Eruption,1990 Jul 2,0
Puyehue-Cordon Caulle,Confirmed Eruption,1990 Jul 2,1
Ruapehu,Confirmed Eruption,1990 Jun 17,0
Kiska,Confirmed Eruption,1990 Jun 1,2
Monowai,Confirmed Eruption,1990 May 30,0
Sabancaya,Confirmed Eruption,1990 May 28,3
Gamalama,Confirmed Eruption,1990 Apr 25,3
Pular,Uncertain Eruption,1990 Apr 24,1
Guagua Pichincha,Confirmed Eruption,1990 Apr 16,1
Suwanosejima,Confirmed Eruption,1990 Apr 16,2
Kick 'em Jenny,Confirmed Eruption,1990 Mar 26,0
Pavlof,Confirmed Eruption,1990 Mar 5,2
Llaima,Confirmed Eruption,1990 Feb 25,1
Kelut,Confirmed Eruption,1990 Feb 10,4
Bezymianny,Confirmed Eruption,1990 Jan 29,3
Lewotobi,Confirmed Eruption,1990 Jan 28,1
Akutan,Confirmed Eruption,1990 Jan 26,2
"Fournaise, Piton de la",Confirmed Eruption,1990 Jan 18,0
Raung,Confirmed Eruption,1990 Jan 16,2
Sheveluch,Confirmed Eruption,1990 Jan 10,3
Ruapehu,Confirmed Eruption,1990 Jan 7,1
Galeras,Confirmed Eruption,1990 Jan 7,2
Pacaya,Confirmed Eruption,1990 Jan 4,3
Etna,Confirmed Eruption,1989 Dec 16,3
Irruputuncu,Uncertain Eruption,1989 Dec 16,--
Redoubt,Confirmed Eruption,1989 Dec 14,3
St. Helens,Confirmed Eruption,1989 Dec 7,2
Cleveland,Uncertain Eruption,1989 Oct 25,0
Kanlaon,Confirmed Eruption,1989 Oct 25,2
Supply Reef,Confirmed Eruption,1989 Sep 21,0
Etna,Confirmed Eruption,1989 Sep 11,2
Gareloi,Confirmed Eruption,1989 Aug 17,1
Tinakula,Confirmed Eruption,1989 Aug 16,1
Bezymianny,Confirmed Eruption,1989 Aug 1,2
Sumisujima,Uncertain Eruption,1989 Jul 18,0
Kita-Ioto,Uncertain Eruption,1989 Jul 16,0
Karangetang,Confirmed Eruption,1989 Jul 16,1
Izu-Tobu,Confirmed Eruption,1989 Jul 13,1
Ruapehu,Confirmed Eruption,1989 Jul 1,1
Cameroon,Confirmed Eruption,1989 May 29,1
Etorofu-Yakeyama [Grozny Group],Confirmed Eruption,1989 May 3,2
Nyamuragira,Confirmed Eruption,1989 Apr 24,3
Ambrym,Confirmed Eruption,1989 Apr 24,2
Soputan,Confirmed Eruption,1989 Apr 22,2
Niigata-Yakeyama,Confirmed Eruption,1989 Apr 19,1
Sheveluch,Confirmed Eruption,1989 Apr 7,2
Asosan,Confirmed Eruption,1989 Apr 5,2
Akutan,Confirmed Eruption,1989 Feb 27,2
Masaya,Confirmed Eruption,1989 Feb 20,1
Galeras,Confirmed Eruption,1989 Feb 19,2
Ebeko,Confirmed Eruption,1989 Feb 2,2
Saunders,Confirmed Eruption,1989 Jan 30,0
Sumisujima,Uncertain Eruption,1989 Jan 18,0
Sarychev Peak,Confirmed Eruption,1989 Jan 13,1
Kusatsu-Shiranesan,Uncertain Eruption,1989 Jan 6,1
Ulawun,Confirmed Eruption,1989 Jan 1,2
Kick 'em Jenny,Confirmed Eruption,1988 Dec 29,0
Lonquimay,Confirmed Eruption,1988 Dec 25,3
Tokachidake,Confirmed Eruption,1988 Dec 10,2
Ruapehu,Confirmed Eruption,1988 Dec 8,1
Sheveluch,Confirmed Eruption,1988 Dec 7,2
Etna,Confirmed Eruption,1988 Oct 2,1
Fernandina,Confirmed Eruption,1988 Sep 14,2
Monowai,Confirmed Eruption,1988 Sep 8,0
Pagan,Confirmed Eruption,1988 Aug 24,2
Epi,Uncertain Eruption,1988 Aug 16,0
Makian,Confirmed Eruption,1988 Jul 29,3
Slamet,Confirmed Eruption,1988 Jul 12,1
Northern EPR at 9.8°N,Confirmed Eruption,1988 Jul 2,0
Sabancaya,Confirmed Eruption,1988 Jun 22,1
Kanlaon,Confirmed Eruption,1988 Jun 21,1
Concepcion,Confirmed Eruption,1988 Jun 16,2
Colima,Uncertain Eruption,1988 Jun 15,2
Hunga Tonga-Hunga Ha'apai,Confirmed Eruption,1988 Jun 1,0
Asosan,Confirmed Eruption,1988 May 26,1
Banda Api,Confirmed Eruption,1988 May 9,3
Lokon-Empung,Confirmed Eruption,1988 Apr 21,1
Akutan,Confirmed Eruption,1988 Mar 26,2
Ruapehu,Confirmed Eruption,1988 Mar 20,1
Myojinsho,Uncertain Eruption,1988 Mar 18,0
Bulusan,Confirmed Eruption,1988 Feb 20,2
Pagan,Uncertain Eruption,1988 Feb 16,--
Krakatau,Confirmed Eruption,1988 Feb 14,2
Gamalama,Confirmed Eruption,1988 Feb 12,2
Ambrym,Confirmed Eruption,1988 Feb 12,3
Kita-Fukutokutai,Uncertain Eruption,1988 Jan 27,1
Kikai,Confirmed Eruption,1988 Jan 18,1
Suwanosejima,Confirmed Eruption,1988 Jan 16,2
Akan,Confirmed Eruption,1988 Jan 5,1
Nyamuragira,Confirmed Eruption,1987 Dec 30,1
Ranakah,Confirmed Eruption,1987 Dec 28,3
Tupungatito,Confirmed Eruption,1987 Nov 28,2
Lascar,Confirmed Eruption,1987 Nov 16,3
Telica,Confirmed Eruption,1987 Nov 16,1
San Cristobal,Uncertain Eruption,1987 Nov 16,--
Izu-Oshima,Confirmed Eruption,1987 Nov 16,2
Carlisle,Uncertain Eruption,1987 Nov 16,--
Myojinsho,Uncertain Eruption,1987 Oct 21,0
Ebeko,Confirmed Eruption,1987 Oct 14,1
