,Latitude,Longitude,Depth,Magnitude,Distance,Days-till-eruption
80,19.359,-155.1655,1.65,2.84,14.4894,0.5078145833333333
81,19.359,-155.1655,1.65,2.84,14.4894,0.5078145833333333
82,19.382,-155.178,1.38,1.12,12.2271,0.5066131944444444
83,19.382,-155.178,1.38,1.12,12.2271,0.5066131944444444
84,19.3678,-155.1698,3.59,1.14,13.6421,0.5002171296296297
85,19.3678,-155.1698,3.59,1.14,13.6421,0.5002171296296297
86,19.3713,-155.1592,2.98,1.14,14.499,0.49370289351851854
87,19.3713,-155.1592,2.98,1.14,14.499,0.49370289351851854
88,19.367,-155.167,3.57,1.24,13.9454,0.4896008101851852
89,19.367,-155.167,3.57,1.24,13.9454,0.4896008101851852
90,19.3697,-155.1645,3.83,1.36,14.0579,0.4888298611111111
91,19.3697,-155.1645,3.83,1.36,14.0579,0.4888298611111111
92,19.3658,-155.1885,2.11,1.0,12.0173,0.48844456018518523
93,19.3658,-155.1885,2.11,1.0,12.0173,0.48844456018518523
94,19.3718,-155.1652,4.01,1.52,13.8972,0.48692175925925923
95,19.3718,-155.1652,4.01,1.52,13.8972,0.48692175925925923
96,19.3708,-155.1737,3.37,1.33,13.1293,0.48627638888888886
97,19.3708,-155.1737,3.37,1.33,13.1293,0.48627638888888886
98,19.3688,-155.1608,3.86,1.42,14.4534,0.4859392361111112
99,19.3688,-155.1608,3.86,1.42,14.4534,0.4859392361111112
100,19.37,-155.1642,4.21,1.09,14.0732,0.48173101851851846
101,19.37,-155.1642,4.21,1.09,14.0732,0.48173101851851846
102,19.3695,-155.1625,3.8,1.25,14.2588,0.4804929398148148
103,19.3695,-155.1625,3.8,1.25,14.2588,0.4804929398148148
104,19.3682,-155.1832,3.27,1.17,12.3695,0.4746495370370371
105,19.3682,-155.1832,3.27,1.17,12.3695,0.4746495370370371
106,19.3695,-155.1693,3.5,1.53,13.6087,0.4735045138888889
107,19.3695,-155.1693,3.5,1.53,13.6087,0.4735045138888889
108,19.377,-155.166,3.54,1.19,13.6014,0.4717650462962963
109,19.377,-155.166,3.54,1.19,13.6014,0.4717650462962963
110,19.3763,-155.1632,3.7,1.2,13.9035,0.46935983796296304
111,19.3763,-155.1632,3.7,1.2,13.9035,0.46935983796296304
112,19.3692,-155.1555,3.5,1.16,14.947000000000001,0.46787638888888883
113,19.3692,-155.1555,3.5,1.16,14.947000000000001,0.46787638888888883
114,19.3688,-155.161,3.62,0.63,14.4342,0.46710543981481484
115,19.3688,-155.161,3.62,0.63,14.4342,0.46710543981481484
