,Latitude,Longitude,Depth,Magnitude,Distance,Is-erupting,Is-erupting-tomorrow,Is-erupting-next-week
98,19.3688,-155.1608,3.86,1.42,14.4534,False,True,True
99,19.3688,-155.1608,3.86,1.42,14.4534,False,True,True
100,19.37,-155.1642,4.21,1.09,14.0732,False,True,True
101,19.37,-155.1642,4.21,1.09,14.0732,False,True,True
102,19.3695,-155.1625,3.8,1.25,14.2588,False,True,True
103,19.3695,-155.1625,3.8,1.25,14.2588,False,True,True
104,19.3682,-155.1832,3.27,1.17,12.3695,False,True,True
105,19.3682,-155.1832,3.27,1.17,12.3695,False,True,True
106,19.3695,-155.1693,3.5,1.53,13.6087,False,True,True
107,19.3695,-155.1693,3.5,1.53,13.6087,False,True,True
108,19.377,-155.166,3.54,1.19,13.6014,False,True,True
109,19.377,-155.166,3.54,1.19,13.6014,False,True,True
110,19.3763,-155.1632,3.7,1.2,13.9035,False,True,True
111,19.3763,-155.1632,3.7,1.2,13.9035,False,True,True
112,19.3692,-155.1555,3.5,1.16,14.947000000000001,False,True,True
113,19.3692,-155.1555,3.5,1.16,14.947000000000001,False,True,True
114,19.3688,-155.161,3.62,0.63,14.4342,False,True,True
115,19.3688,-155.161,3.62,0.63,14.4342,False,True,True
116,19.3775,-155.168,3.28,1.18,13.3857,False,True,True
117,19.3775,-155.168,3.28,1.18,13.3857,False,True,True
118,19.3723,-155.1635,3.46,0.99,14.0398,False,True,True
119,19.3723,-155.1635,3.46,0.99,14.0398,False,True,True
120,19.3767,-155.16299999999998,3.44,1.07,13.9073,False,True,True
121,19.3767,-155.16299999999998,3.44,1.07,13.9073,False,True,True
122,19.374000000000002,-155.1595,3.83,1.42,14.3578,False,True,True
123,19.374000000000002,-155.1595,3.83,1.42,14.3578,False,True,True
124,19.3692,-155.1623,3.5,1.34,14.2915,False,True,True
125,19.3692,-155.1623,3.5,1.34,14.2915,False,True,True
126,19.3708,-155.1647,3.58,1.57,13.9895,False,True,True
127,19.3708,-155.1647,3.58,1.57,13.9895,False,True,True
128,19.373,-155.1608,3.37,1.41,14.2721,False,True,True
129,19.373,-155.1608,3.37,1.41,14.2721,False,True,True
130,19.3698,-155.1552,5.57,1.46,14.9505,False,True,True
131,19.3698,-155.1552,5.57,1.46,14.9505,False,True,True
132,19.3715,-155.162,3.51,1.57,14.2193,False,True,True
133,19.3715,-155.162,3.51,1.57,14.2193,False,True,True
134,19.3805,-155.1747,4.74,0.9,12.61,False,True,True
135,19.3805,-155.1747,4.74,0.9,12.61,False,True,True
136,19.373,-155.1663,3.43,1.23,13.7388,False,True,True
137,19.373,-155.1663,3.43,1.23,13.7388,False,True,True
138,19.3708,-155.157,3.84,1.52,14.7335,False,True,True
139,19.3708,-155.157,3.84,1.52,14.7335,False,True,True
140,19.3923,-155.1818,2.32,1.1,11.4856,False,True,True
141,19.3923,-155.1818,2.32,1.1,11.4856,False,True,True
142,19.371,-155.1587,3.81,1.38,14.5602,False,True,True
143,19.371,-155.1587,3.81,1.38,14.5602,False,True,True
144,19.3755,-155.1577,3.45,1.12,14.4746,False,True,True
145,19.3755,-155.1577,3.45,1.12,14.4746,False,True,True
